age,income,employment_length,dti,utilization,delinquencies,history_length,tx_30d_count,refund_rate_30d,active_days_30d,channel,region,product,default
39,65175.572664211526,7.0,0.06821109271940616,0.610072432309496,1,1.7389011682013067,3903,0.001728263703989719,1,partner,MW,card,0
26,17642.170054587492,9.0,0.19334542884082837,0.13000808125762303,1,4.654133271610865,683,0.15829458636746074,27,paid_ads,MW,card,0
44,39346.84849883546,5.0,0.26530472874267075,0.6671898993152641,0,13.503113744911447,3963,0.1320817350965282,7,paid_ads,W,bnpl,0
45,25711.198919031678,20.0,0.3559530776718465,0.5237094088203422,1,14.926029402036058,154,0.1671203856916323,24,partner,SE,installment,0
18,185688.62747128392,9.0,0.22204529534039885,0.6436559335326509,1,6.220304022045122,3274,0.031896186715359855,16,partner,MW,bnpl,0
23,26852.39374316096,20.0,0.17863017504308185,0.3573802364331187,2,5.861850952789111,3975,0.18008868484595636,12,paid_ads,W,bnpl,0
37,20981.114462900565,0.0,0.24816822470341748,0.3486128605070815,1,0.7729186086346572,1044,0.06375424267932346,29,paid_ads,MW,card,0
33,11101.264400650629,20.0,0.3376289161509181,0.35346618224562554,0,5.310247232700917,2397,0.00527226781870905,24,paid_ads,SE,bnpl,1
36,26419.76889879271,6.0,0.23758775866335152,0.2573899005433414,1,9.396158778601114,1550,0.138269990177184,19,organic,W,bnpl,0
27,47165.768361835864,20.0,0.4306206604403398,0.2236918349246864,0,6.243874837185281,1940,0.027310561311878277,6,paid_ads,W,installment,0
45,76391.3041231615,9.0,0.1980831545770715,0.10672122787191647,2,4.893871316094722,1494,0.04776370690103412,27,paid_ads,W,bnpl,1
44,25975.622161606854,14.0,0.17257575602613787,0.4847493890785288,0,8.555528963205797,255,0.016430004585406187,25,paid_ads,NE,installment,0
37,79677.12438051478,5.0,0.2523526761602818,0.5223785235433931,1,10.953970497451326,1531,0.021643112282579056,24,organic,W,card,0
47,42965.573708437776,13.0,0.27757445444538015,0.6729347694830031,1,2.7557485416304246,1704,0.010500097238218098,4,paid_ads,SE,card,0
41,34797.21687586137,18.0,0.14625557297583275,0.4287575555210584,0,8.098333849520658,2758,0.04153567168303505,29,partner,SE,card,0
27,48359.56470580576,18.0,0.05134510678527147,0.5875977155703639,1,5.20952614748005,4007,0.23248940854897007,12,paid_ads,SE,bnpl,0
40,90109.96200454977,15.0,0.1799380717109172,0.415282620775461,2,10.717635569791952,3603,0.021053136913626945,5,partner,NE,installment,1
26,45503.93590618132,9.0,0.2640778245020311,0.19058675680529846,0,12.374955899383602,3633,0.025617926938640612,13,organic,W,installment,0
45,25485.60825101559,5.0,0.34116915631835676,0.4275000591360411,0,2.1281190055514223,4930,0.08925407703641254,10,organic,W,card,0
36,54834.278262795044,6.0,0.18280013153391114,0.13164697060409059,1,3.9880036589861985,1339,0.027075487260619528,14,organic,MW,bnpl,0
34,54397.35513267244,5.0,0.2229123890943829,0.7043520666940265,0,10.754818685399007,2593,0.20168758412563081,3,partner,NE,card,0
29,40330.450761105014,18.0,0.2589818541852326,0.4147254766607142,0,9.916400620224039,1109,0.013038075172117214,21,partner,NE,bnpl,0
48,73922.47870497048,0.0,0.3502793303203147,0.10611837166117725,0,4.869286373111329,2071,0.023414566857587867,18,partner,W,card,1
34,14121.129601636332,2.0,0.23291972329761254,0.4347329596037072,1,7.481963079912139,3344,0.2104110670454039,12,partner,NE,installment,1
32,53025.94170267837,5.0,0.09154672518417932,0.15324566592390731,0,2.4973740607128287,3843,0.0440357552977218,28,organic,MW,card,0
32,65655.35158470094,8.0,0.24050356219930655,0.6765868151207074,1,5.111046290740599,2384,0.011144748482130696,11,partner,NE,bnpl,0
41,21495.34554860049,20.0,0.4130678427683937,0.16750917935657514,0,20.702002380419188,931,0.02921980207468288,19,partner,NE,installment,0
40,21128.3222753817,18.0,0.20803808200811524,0.732783983373126,1,7.9626237986932,1958,0.011816056602853148,4,paid_ads,W,installment,0
40,73062.03943318066,4.0,0.24753129921264563,0.4506891119914998,0,3.6498379426047722,4261,0.023208737945130647,20,paid_ads,MW,installment,0
40,79795.87279682541,16.0,0.5521519199654499,0.22268116533981197,0,8.665225315605483,164,0.0661628602071343,28,paid_ads,MW,bnpl,0
57,87542.94676167156,14.0,0.19257403980529808,0.3779086864880752,0,10.550716260578648,1776,0.0422145231433677,14,partner,SE,installment,0
32,31366.799206246087,8.0,0.11930602031060018,0.21243628591776328,1,1.2464318657633728,4470,0.08274190455018547,3,partner,MW,bnpl,0
31,49046.95681419612,8.0,0.18062386539327147,0.8388089816207375,0,7.221458977264721,1753,0.10806671704885724,3,organic,W,installment,0
28,52398.56527913542,8.0,0.36883347986734066,0.5498519677501539,0,1.3833929318987879,2977,0.047823301495857416,23,organic,W,installment,0
42,18890.155001249652,17.0,0.1262716058436941,0.6468281628635474,0,6.968410933651711,2166,0.18426916088293668,0,partner,W,bnpl,1
47,47984.351230008964,8.0,0.08276556101168052,0.07227651122245662,0,2.1463900792775634,2163,0.00453952559453983,11,paid_ads,SE,installment,1
35,47541.31880691534,20.0,0.24834394235432322,0.27738992125805484,0,1.0188098211812135,3222,0.007807439481693878,14,organic,MW,installment,0
28,64386.24606426494,15.0,0.3090008231477602,0.4661202330057754,1,11.334080642626558,1506,0.02359724170005663,10,partner,SE,installment,1
28,33330.112836347806,8.0,0.012398974816403398,0.40131895434403553,0,5.275947603114036,948,0.01141883026306554,12,organic,MW,bnpl,0
43,82885.77017625215,6.0,0.24221934172661228,0.48113891383953644,0,16.890890023133476,1710,0.08229684968934137,19,partner,MW,bnpl,0
43,46173.85505890928,8.0,0.20501992826066617,0.09399683968124904,1,1.430984678156733,341,0.011780773042915757,21,organic,SE,installment,0
41,104282.55454344074,10.0,0.19041671600712948,0.9563529365189746,0,5.527308603021543,4286,0.055660977108326605,27,partner,W,card,0
29,64428.054844172526,20.0,0.055747319447007386,0.7846918500025359,0,0.8229118848328149,2239,0.07354970615263143,1,organic,MW,card,0
38,50962.67285509289,5.0,0.12496307671569058,0.06632118640102726,0,26.042289625525914,213,0.06276833436285845,19,paid_ads,NE,bnpl,0
37,24564.360468297666,2.0,0.19867423436731493,0.17914145544810697,0,1.0925428512114603,2637,0.06311867349612806,10,paid_ads,W,card,1
38,22925.36495424275,17.0,0.1278067612926089,0.1823384686417329,0,5.512759546769494,4841,0.040995306015769443,21,paid_ads,SE,bnpl,0
45,98758.55203210637,8.0,0.24445169081741858,0.9692497187170352,0,7.278123875999788,457,0.02074971265136606,18,organic,MW,bnpl,0
38,68793.51637966932,20.0,0.3376802705556121,0.37210658551093934,1,14.681672085469474,3087,0.09494500067393827,8,paid_ads,W,card,0
43,38463.25261089637,11.0,0.26363256585982486,0.10242702952878167,0,19.679314130877756,1568,0.09052562137161649,27,paid_ads,NE,bnpl,0
37,36011.621532226716,1.0,0.1477480017034266,0.48654399127245823,1,7.378351319090205,3104,0.03657684944032917,0,partner,MW,card,0
39,49560.13605055457,9.0,0.35596570448885795,0.7666736385100983,1,13.675141245997604,1064,0.06014905365269097,7,paid_ads,SE,card,0
42,22638.46443948908,9.0,0.058447239875907823,0.4083176445798946,0,14.933550508037506,1052,0.05689996788905362,3,paid_ads,MW,card,0
21,35107.17023221193,17.0,0.2633925612611376,0.5929023025525273,0,17.353369208794014,2107,0.04481579747134473,19,partner,W,bnpl,0
33,60250.673904569405,13.0,0.15122820526777453,0.26996707428489736,0,26.393126576131383,1622,0.10959145301242977,1,paid_ads,MW,installment,1
31,64418.30972427631,5.0,0.08778839998013875,0.5204335663275176,0,6.604837745477957,766,0.06066361158390599,16,partner,W,card,0
30,36899.55340897293,6.0,0.036377777646424636,0.22549034941038687,2,2.628995847958942,3061,0.036035067657321715,0,organic,MW,installment,0
33,98728.026437779,0.0,0.31474535301956763,0.3312016208308241,2,8.008182583961823,987,0.044701537127943745,18,partner,W,bnpl,0
51,74793.98208000357,4.0,0.16578928221008832,0.4728790729329368,1,2.6480285325125217,151,0.11400428634612819,14,paid_ads,SE,bnpl,0
27,30200.620899131733,8.0,0.3815970674107263,0.7389695107141104,1,4.427978651854253,2005,0.03239276699961962,6,paid_ads,MW,card,1
46,23437.515213000137,1.0,0.019235539362050108,0.40267124547659655,2,1.0394822836594317,3968,0.05042157793261736,26,paid_ads,SE,installment,0
19,59711.74608959298,4.0,0.291487541116279,0.20060295006913575,1,8.007706510659794,3964,0.08731350058007495,27,partner,W,bnpl,0
33,35417.616294946245,10.0,0.0157057616166531,0.273862236502882,1,5.372916394840468,2988,0.14732826418320252,10,partner,NE,installment,0
38,32208.321762227995,18.0,0.02716160298880901,0.05897219296281071,1,4.566884332887422,4775,0.013518336044750058,9,paid_ads,MW,card,0
42,49585.08404726205,6.0,0.19313572156379183,0.21914477672223684,0,7.757762216473182,2161,0.007241526510478819,24,organic,SE,card,0
43,63556.90080120432,12.0,0.16098663184138243,0.6415668458966212,1,7.621777501055486,4145,0.013578745497200348,12,organic,NE,bnpl,0
44,65904.54013892877,0.0,0.30339681457679984,0.44819955950709023,0,2.826900754078125,571,0.011817587008115223,22,organic,MW,installment,0
33,45596.75768544288,7.0,0.29621819152009066,0.43907380762628423,1,2.7539805437947975,1931,0.07861748242498952,26,partner,MW,bnpl,0
31,14087.528467276768,11.0,0.08612289872184416,0.6504233384089925,0,12.865294212445077,3809,0.012394951226740484,27,partner,MW,installment,1
45,71482.66434983423,5.0,0.21414544511003322,0.8701547559967198,1,9.358409568962985,875,0.00678659005023453,1,organic,SE,installment,0
34,29642.408248060518,13.0,0.17324696654289382,0.24247927230669816,1,6.898799821149506,3579,0.009621910226923026,24,paid_ads,NE,card,0
23,51750.49521476684,3.0,0.10112021839148354,0.4065454702754486,0,6.330870049623622,1473,0.009100008632208733,29,organic,MW,card,0
25,41727.70452503893,20.0,0.21740387416474985,0.8799384750501593,1,6.565468945379497,939,0.024169069522899773,29,partner,W,bnpl,0
27,136220.19666865052,2.0,0.2750234792472214,0.4093401044309656,0,3.5740675180859616,4770,0.012554976275256056,4,paid_ads,MW,card,0
41,124113.01351658891,9.0,0.27205761159684844,0.658950473376394,0,8.03008239035617,4643,0.10192073657760845,12,paid_ads,SE,installment,0
37,35251.5067272711,11.0,0.32566557256093964,0.6193202384738159,1,4.4424930796436986,3826,0.031894922046774916,20,partner,MW,card,0
43,22644.70018910036,7.0,0.4395122607106286,0.3387722894670727,0,2.4356751470834808,4706,0.04971511376200017,13,organic,NE,card,0
32,23547.833100024956,9.0,0.20413827518450622,0.285850706760135,0,6.301724152337049,1916,0.01902562221304747,17,paid_ads,MW,card,0
38,50806.671923409245,3.0,0.07830347891829763,0.0711828578122064,0,4.524208335023025,3757,0.03659121614581069,15,organic,NE,bnpl,0
42,33864.60405562406,5.0,0.22303474456999448,0.31301979915595013,1,7.650333706115246,2008,0.01833390693519698,21,partner,SE,bnpl,0
33,25449.150726396572,15.0,0.18635826295864194,0.5295657009985076,0,4.47070534931251,1207,0.10223713093185834,10,paid_ads,NE,installment,0
41,34137.90422123294,16.0,0.22960712105721723,0.4022494941321527,1,2.174226381566976,81,0.030229482774155204,16,organic,SE,installment,0
29,55580.92559896069,0.0,0.08096513320857734,0.5891896036474131,1,9.458607226744913,3554,0.07878203509380166,21,paid_ads,SE,card,0
32,42653.644706218074,6.0,0.22237308961987848,0.2786428295511933,1,6.394098422424558,2054,0.051145443914590166,21,organic,NE,bnpl,0
32,34849.90631269519,19.0,0.10599691954255662,0.2955789853635774,1,1.6995699076033988,3346,0.05928264751891626,2,partner,NE,card,0
24,37106.9102607171,14.0,0.040513760178191215,0.37424084429356513,0,3.014193530188869,4119,0.03756519139338195,25,paid_ads,MW,bnpl,0
41,40906.11652223703,5.0,0.21754291164919357,0.3104706828200537,0,10.029034765602898,1224,0.0084339304871804,20,organic,SE,bnpl,0
31,49578.570065391046,12.0,0.30305543326302925,0.16781441108986708,1,2.4360043584295856,3439,0.04697400538510704,12,organic,SE,installment,0
36,51054.13691045999,2.0,0.21624719519196242,0.7915535829406064,1,3.5446283182003113,2659,0.015911514467560714,10,paid_ads,MW,card,1
41,19453.883709183676,2.0,0.2181414296814631,0.8295951820048413,0,8.999679984013094,1336,0.06888681912197894,3,partner,SE,bnpl,0
40,48211.31210542533,11.0,0.05504511283476399,0.6981358687403756,0,5.6639314030620715,2997,0.010066722431613674,0,organic,SE,card,0
43,37011.08746653481,10.0,0.07781255687129253,0.3044722159902132,0,16.237078755529858,1940,0.01854833674613609,26,partner,SE,bnpl,0
35,26718.257888489774,12.0,0.32043812939803096,0.7326552540558569,1,3.7808302974656933,3404,0.026811305118055174,28,partner,W,card,0
32,36814.3925687277,16.0,0.37643005382218586,0.3699314415090095,1,3.139984374897435,3201,0.13080115774769735,23,organic,W,installment,0
35,79068.36766335863,13.0,0.22202830554551048,0.382050573752312,1,6.198257541792722,926,0.09098161216517245,10,organic,NE,card,0
19,66457.08918909328,10.0,0.12164588452249081,0.4301665348665484,1,8.563125986222765,2002,0.02750041080696822,29,partner,MW,card,0
22,46564.957381848646,4.0,0.2023268076585441,0.1598517900169137,1,8.919120905775372,51,0.044128126948318164,11,paid_ads,MW,card,0
23,28323.60711021036,16.0,0.08630709507764378,0.5378818236684738,1,5.539087968952149,1520,0.04159027005071487,13,partner,SE,bnpl,1
26,22475.603610653427,17.0,0.11896787357462578,0.8091026080968634,1,1.2605297188989533,1614,0.025757934762976446,26,partner,W,bnpl,0
40,27697.353910789956,10.0,0.09484026861890142,0.26578743856475584,0,15.374701464017502,2602,0.11637546549311363,1,partner,NE,bnpl,0
27,44627.46589469072,1.0,0.17554015636505416,0.3660113927589913,0,6.020195977712212,675,0.04866621921598275,23,paid_ads,NE,bnpl,0
32,45100.195426734914,16.0,0.15482988206861745,0.2976808917453456,1,3.633647336306593,2533,0.07240713025911398,27,paid_ads,NE,installment,0
49,32026.51950968253,20.0,0.1615479359919807,0.032713985581561675,0,6.840887543848297,196,0.0794861452192265,30,partner,W,card,0
32,68795.95003875656,2.0,0.06031524852816347,0.7306544914822056,0,7.625148661103373,4487,0.01026202839939895,25,organic,SE,installment,1
43,53757.85384069525,10.0,0.18334980413194504,0.4921277206765664,0,6.186740116458846,2993,0.028969883892380296,25,organic,SE,card,0
27,11782.383829146711,4.0,0.2307550727801446,0.28853331310208213,1,1.9328780027787782,3856,0.0825403349357179,29,organic,W,bnpl,0
34,46844.36132803683,5.0,0.08577121739910179,0.24970146698652426,2,0.9970514319876138,2544,0.03723180390424807,6,partner,SE,installment,0
26,64714.30430926392,5.0,0.23024864134919454,0.6882737992439337,1,4.177139344914964,250,0.017902923631017604,28,partner,MW,installment,0
